H5C6C,屬,속
H5C6F,屯,둔
H5C71,山,산
H5CB3,岳,악
H5CB8,岸,안
H5CEF,峯,봉
H5CF6,島,도
H5D07,崇,숭
H5D29,崩,붕
H5DBA,嶺,령
H5DD6,巖,암
H5DDD,川,천
H5DDE,州,주
H5DE1,巡,순
H5DE5,工,공
H5DE6,左,좌
H5DE7,巧,교
H5DE8,巨,거
H5DEE,差,차
H5DF1,己,기
H5DF2,已,이
H5DF3,巳,사
H5DF7,巷,항
H5E02,市,시
H5E03,布,포
H5E0C,希,희
H5E1D,帝,제
H5E25,帥,수
H5E2B,師,사
H5E2D,席,석
H5E33,帳,장
H5E36,帶,대
H5E38,常,상
H5E45,幅,폭
H5E55,幕,막
H5E63,幣,폐
H5E72,干,간
H5E73,平,평
H5E74,年,년
H5E78,幸,행
H5E79,幹,간
H5E7C,幼,유
H5E7D,幽,유
H5E7E,幾,기
H5E8A,床,상
H5E8F,序,서
H5E95,底,저
H5E97,店,점
H5E9A,庚,경
H5E9C,府,부
H5EA6,度,도
H5EA7,座,좌
H5EAB,庫,고
H5EAD,庭,정
H5EB6,庶,서
H5EB7,康,강
H5EB8,庸,용
H5EC9,廉,렴
H5ECA,廊,랑
H5EDF,廟,묘
H5EE2,廢,폐
H5EE3,廣,광
H5EF3,廳,청
H5EF6,延,연
H5EF7,廷,정
H5EFA,建,건
H5F04,弄,롱
H5F0A,弊,폐
H5F0F,式,식
H5F13,弓,궁
H5F14,弔,조
H5F15,引,인
H5F18,弘,홍
H5F1F,弟,제
H5F31,弱,약
H5F35,張,장
H5F37,強,강
H5F48,彈,탄
H5F62,形,형
H5F69,彩,채
H5F71,影,영
H5F79,役,역
H5F7C,彼,피
H5F80,往,왕
H5F81,征,정
H5F85,待,대
H5F8B,律,률
H5F8C,後,후
H5F90,徐,서
H5F91,徑,경
H5F92,徒,도
H5F97,得,득
H5F9E,從,종
H5FA1,御,어
H5FA9,復,복
H5FAA,循,순
H5FAE,微,미
H5FB5,徵,징
H5FB7,德,덕
H5FB9,徹,철
H5FC3,心,심
H5FC5,必,필
H5FCC,忌,기
H5FCD,忍,인
H5FD7,志,지
H5FD8,忘,망
H5FD9,忙,망
H5FE0,忠,충
H5FEB,快,쾌
H5FF5,念,념
H5FFD,忽,홀
H6012,怒,노
H601D,思,사
H6020,怠,태
H6025,急,급
H6027,性,성
H6028,怨,원
H602A,怪,괴
H6050,恐,공
H6052,恒,항
H6055,恕,서
H6063,恣,자
H6065,恥,치
H6068,恨,한
H6069,恩,은
H606D,恭,공
H606F,息,식
H6085,悅,열
H6094,悔,회
H609F,悟,오
H60A0,悠,유
H60A3,患,환
H60B2,悲,비
H60C5,情,정
H60D1,惑,혹
H60DC,惜,석
H60DF,惟,유
H60E0,惠,혜
H60E1,惡,악
H60F1,惱,뇌
H60F3,想,상
H6101,愁,수
H6108,愈,유
H610F,意,의
H611A,愚,우
H611B,愛,애
H611F,感,감
H6127,愧,괴
H613C,愼,신
H6148,慈,자
H614B,態,태
H6155,慕,모
H6158,慘,참
H6159,慙,참
H6162,慢,만
H6163,慣,관
H6167,慧,혜
H6168,慨,개
H616E,慮,려
H6170,慰,위
H6176,慶,경
H617E,慾,욕
H6182,憂,우
H618E,憎,증
H6190,憐,련
H61A4,憤,분
H61AB,憫,민
H61B2,憲,헌
H61B6,憶,억
H61C7,懇,간
H61C9,應,응
H61F2,懲,징
H61F7,懷,회
H61F8,懸,현
H61FC,懼,구
H6200,戀,련
H620A,戊,무
H620C,戌,술
H6210,成,성
H6211,我,아
H6212,戒,계
H6216,或,혹
H621A,戚,척
H6230,戰,전
H6232,戲,희
H6236,戶,호
H623F,房,방
H6240,所,소
H624B,手,수
H624D,才,재
H6253,打,타
H6258,托,탁
H6276,扶,부
H6279,批,비
H627F,承,승
H6280,技,기
H6284,抄,초
H628A,把,파
H6291,抑,억
H6295,投,투
H6297,抗,항
H6298,折,절
H62B1,抱,포
H62B5,抵,저
H62BC,押,압
H62BD,抽,추
H62C2,拂,불
H62CD,拍,박
H62D2,拒,거
H62D3,拓,척
H62D4,拔,발
H62D8,拘,구
H62D9,拙,졸
H62DB,招,초
H62DC,拜,배
H62F3,拳,권
H62FE,拾,습
H6301,持,지
H6307,指,지
H6311,挑,도
H632F,振,진
H6349,捉,착
H6355,捕,포
H6368,捨,사
H6383,掃,소
H6388,授,수
H638C,掌,장
H6392,排,배
H639B,掛,괘
H63A0,掠,략
H63A1,採,채
H63A2,探,탐
H63A5,接,접
H63A8,推,추
H63D0,提,제
H63DA,揚,양
H63DB,換,환
H63EE,揮,휘
H63F4,援,원
H640D,損,손
H6416,搖,요
H641C,搜,수
H643A,携,휴
H6458,摘,적
H64AD,播,파
H64C1,擁,옹
H64C7,擇,택
H64CA,擊,격
H64CD,操,조
H64D4,擔,담
H64DA,據,거
H64E7,擧,거
H64F4,擴,확
H651D,攝,섭
H652F,支,지
H6536,收,수
H6539,改,개
H653B,攻,공
H653E,放,방
H653F,政,정
H6545,故,고
H6548,效,효
H654D,敍,서
H654E,敎,교
H654F,敏,민
H6551,救,구
H6557,敗,패
H6562,敢,감
H6563,散,산
H6566,敦,돈
H656C,敬,경
H6574,整,정
H6575,敵,적
