한자,음,훈,전체,훈음,구분
雙 ,쌍,쌍,雙 (쌍 쌍),쌍 쌍,고
氏 ,씨,각시,氏 (각시 씨),각시 씨,중
餓,아,굶주릴,餓 (굶주릴 아),굶주릴 아,고
我,아,나,我 (나 아),나 아,중
芽,아,싹,芽 (싹 아),싹 아,고
牙,아,어금니,牙 (어금니 아),어금니 아,고
雅,아,우아할,雅 (우아할 아),우아할 아,고
亞 ,아,버금,亞 (버금 아),버금 아,고
兒 ,아,아이,兒 (아이 아),아이 아,중
惡 ,악,악할,惡 (악할 악),악할 악,중
岳 ,악,큰 산,岳 (큰 산 악),큰 산 악,고
雁,안,기러기,雁 (기러기 안),기러기 안,고
眼,안,눈,眼 (눈 안),눈 안,중
顔,안,얼굴,顔 (얼굴 안),얼굴 안,중
案,안,책상,案 (책상 안),책상 안,중
岸 ,안,언덕,岸 (언덕 안),언덕 안,고
安 ,안,편안할,安 (편안할 안),편안할 안,중
謁 ,알,뵐,謁 (뵐 알),뵐 알,고
暗,암,어두울,暗 (어두울 암),어두울 암,중
巖 ,암,바위,巖 (바위 암),바위 암,중
押,압,누를,押 (누를 압),누를 압,고
壓 ,압,누를,壓 (누를 압),누를 압,고
殃,앙,재앙,殃 (재앙 앙),재앙 앙,고
央 ,앙,가운데,央 (가운데 앙),가운데 앙,고
仰 ,앙,우러를,仰 (우러를 앙),우러를 앙,중
愛,애,사랑,愛 (사랑 애),사랑 애,중
涯 ,애,물가,涯 (물가 애),물가 애,고
哀 ,애,슬플,哀 (슬플 애),슬플 애,중
額,액,이마,額 (이마 액),이마 액,고
厄 ,액,재앙,厄 (재앙 액),재앙 액,고
野,야,들,野 (들 야),들 야,중
夜,야,밤,夜 (밤 야),밤 야,중
耶 ,야,어조사,耶 (어조사 야),어조사 야,고
也 ,야,어조사,也 (어조사 야),어조사 야,중
若,약,같을,若 (같을 약),같을 약,중
藥,약,약,藥 (약 약),약 약,중
約,약,약속할,約 (약속할 약),약속할 약,중
躍 ,약,뛸,躍 (뛸 약),뛸 약,고
弱 ,약,약할,弱 (약할 약),약할 약,중
養,양,기를,養 (기를 양),기를 양,중
樣,양,모양,樣 (모양 양),모양 양,고
洋,양,바다,洋 (바다 양),바다 양,중
楊,양,버들,楊 (버들 양),버들 양,고
陽,양,볕,陽 (볕 양),볕 양,중
讓,양,사양할,讓 (사양할 양),사양할 양,중
羊,양,양,羊 (양 양),양 양,중
揚 ,양,오를,揚 (오를 양),오를 양,중
壤 ,양,흙,壤 (흙 양),흙 양,고
漁,어,고기 잡을,漁 (고기 잡을 어),고기 잡을 어,중
語,어,말씀,語 (말씀 어),말씀 어,중
魚,어,물고기,魚 (물고기 어),물고기 어,중
御 ,어,어거할,御 (어거할 어),어거할 어,고
於 ,어,어조사,於 (어조사 어),어조사 어,중
憶,억,생각할,憶 (생각할 억),생각할 억,중
抑 ,억,누를,抑 (누를 억),누를 억,고
億 ,억,억,億 (억 억),억 억,중
言 ,언,말씀,言 (말씀 언),말씀 언,중
焉 ,언,어찌,焉 (어찌 언),어찌 언,고
嚴 ,엄,엄할,嚴 (엄할 엄),엄할 엄,중
業 ,업,업,業 (업 업),업 업,중
如,여,같을,如 (같을 여),같을 여,중
餘,여,남을,餘 (남을 여),남을 여,중
汝,여,너,汝 (너 여),너 여,중
輿,여,수레,輿 (수레 여),수레 여,고
與,여,줄,與 (줄 여),줄 여,중
予 ,여,나,予 (나 여),나 여,고
余 ,여,나,余 (나 여),나 여,중
逆,역,거스를,逆 (거스를 역),거스를 역,중
易,역,바꿀,易 (바꿀 역),바꿀 역,중
役,역,부릴,役 (부릴 역),부릴 역,고
驛,역,역참,驛 (역참 역),역참 역,고
疫,역,염병,疫 (염병 역),염병 역,고
譯,역,통변할,譯 (통변할 역),통변할 역,고
亦 ,역,또,亦 (또 역),또 역,중
域 ,역,지경,域 (지경 역),지경 역,고
硏,연,갈,硏 (갈 연),갈 연,중
延,연,끌,延 (끌 연),끌 연,고
鉛,연,납,鉛 (납 연),납 연,고
沿,연,따를,沿 (따를 연),따를 연,고
煙,연,연기,煙 (연기 연),연기 연,중
演,연,연역할,演 (연역할 연),연역할 연,고
軟,연,연할,軟 (연할 연),연할 연,고
緣,연,인연,緣 (인연 연),인연 연,고
燕,연,제비,燕 (제비 연),제비 연,고
燃,연,탈,燃 (탈 연),탈 연,고
然 ,연,그러할,然 (그러할 연),그러할 연,중
宴 ,연,잔치,宴 (잔치 연),잔치 연,고
熱,열,더울,熱 (더울 열),더울 열,중
閱 ,열,검열할,閱 (검열할 열),검열할 열,고
悅 ,열,기쁠,悅 (기쁠 열),기쁠 열,중
鹽,염,소금,鹽 (소금 염),소금 염,고
染 ,염,물들일,染 (물들일 염),물들일 염,고
炎 ,염,불탈,炎 (불탈 염),불탈 염,중
葉 ,엽,잎,葉 (잎 엽),잎 엽,중
營,영,경영할,營 (경영할 영),경영할 영,고
永,영,길,永 (길 영),길 영,중
英,영,꽃부리,英 (꽃부리 영),꽃부리 영,중
迎,영,맞이할,迎 (맞이할 영),맞이할 영,중
映,영,비출,映 (비출 영),비출 영,고
詠,영,읊을,詠 (읊을 영),읊을 영,고
泳,영,헤엄칠,泳 (헤엄칠 영),헤엄칠 영,고
